location_id,description,name,address (LEAVE EMPTY),city (LEAVE EMPTY),state_province  (LEAVE EMPTY),postal_code  (LEAVE EMPTY),country (LEAVE EMPTY),place_type,lat,lng,NOTES
1,Racial Discrimination,Frenchies,,,,,,Resturant,27.9659,-82.8001,
LOC001,lodging,Red Roof Inn Columbus West,,Columbus,OH,43228,United States,hotel,39.9645,-83.1587,
LOC002,lodging,Red Roof Inn Springfield,,Springfield,MO,65804,United States,hotel,,,
LOC003,lodging,Red Roof Inn Smyrna,,Smyrna,GA,30080,United States,hotel,,,
LOC004,lodging,Motel 6 Dallas,,Dallas,TX,75201,United States,hotel,,,
LOC005,lodging,Hilton Garden Inn Atlanta,,Atlanta,GA,30308,United States,hotel,,,
,Sundown Town,,,,Illinois,62881,United States,town,38.62699,-88.94562,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Illinois,62906,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Indiana,46036,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Indiana,46526,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Missouri,65251,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Missouri,65775,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Arkansas,72450,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Arkansas,72601,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Alabama,35016,United States,town,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Texas,75118,United States,town,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Texas,77662,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Oklahoma,73069,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Oklahoma,74859,United States,town,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Oregon,97013,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Oregon,97007,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,California,91210,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,California,95490,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Michigan,48126,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Colorado,81230,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Nevada,89445,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Iowa,51301,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Kentucky,40422,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Florida,32034,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Washington,98520,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Arizona,85364,United States,city,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,Pennsylvania,17033,United States,town,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Sundown Town,,,,New York,11756,United States,town,,,"Unsafe for any demographic not considered ""white"" after sundown."
,Food,Denny's,,,,,,Resturant,,,Lawsuit for racial descrimination 1994.
,,Tim Hortons,,,,,,,,,
